Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded
5,Gabriel,Gabriel Armando,de Abreu,False,0.1,Defender,Arsenal,9,0,48,-75,0,0,0,0,0,0,0,0
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,1,0,65,0,90,0,0,0,0,0,0,4
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,2,9,65,-56304,90,0,0,1,3,0,0,0
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,3,2,65,-14824,90,0,0,0,0,0,0,1
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,4,2,65,-22447,90,0,0,0,0,0,0,1
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,5,2,65,-34253,90,0,0,0,0,0,0,1
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,6,11,65,-64440,90,0,1,1,2,0,0,0
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,7,6,65,50025,90,0,0,1,0,0,0,0
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,8,4,65,15926,90,0,1,0,0,0,0,2
6,Bellerín,Héctor,Bellerín,True,27.2,Defender,Arsenal,9,7,66,39161,90,0,0,1,1,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,1,0,50,0,0,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,2,0,50,-2292,0,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,3,1,49,-3323,17,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,4,0,49,-1535,0,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,5,0,49,-1447,0,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,6,1,48,-1394,22,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,7,0,48,-455,0,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,8,1,48,-627,8,0,0,0,0,0,0,0
7,Gibbs,Kieran,Gibbs,False,0.5,Defender,Arsenal,9,0,48,-328,0,0,0,0,0,0,0,0
8,Debuchy,Mathieu,Debuchy,False,0.3,Defender,Arsenal,1,0,50,0,0,0,0,0,0,0,0,0
